Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Insulin signaling pathway	3/137	2.508103e-01	3.263970e-01	0	0	1.756388e+00	2.429187e+00	PIK3CA;KRAS;PIK3R1
KEGG_2019_Human	Folate biosynthesis	1/26	2.819425e-01	3.629889e-01	0	0	3.130476e+00	3.963346e+00	DHFR
KEGG_2019_Human	Peroxisome	2/83	2.827492e-01	3.629889e-01	0	0	1.934583e+00	2.443755e+00	IDH1;IDH2
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	2/85	2.921186e-01	3.725003e-01	0	0	1.887774e+00	2.323086e+00	ITGB1;ITGA4
KEGG_2019_Human	Salmonella infection	2/86	2.967977e-01	3.759438e-01	0	0	1.865206e+00	2.265674e+00	RELA;NFKB1
KEGG_2019_Human	Butanoate metabolism	1/28	3.000183e-01	3.775064e-01	0	0	2.898295e+00	3.489292e+00	HMGCS1
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	2/91	3.201114e-01	4.001392e-01	0	0	1.759971e+00	2.004759e+00	ITGB1;ITGA4
KEGG_2019_Human	Circadian rhythm	1/31	3.262855e-01	4.051912e-01	0	0	2.608069e+00	2.920991e+00	CUL1
KEGG_2019_Human	IL-17 signaling pathway	2/93	3.293876e-01	4.063874e-01	0	0	1.721116e+00	1.911333e+00	RELA;NFKB1
KEGG_2019_Human	Propanoate metabolism	1/32	3.348212e-01	4.104260e-01	0	0	2.523810e+00	2.761448e+00	SUCLG1
KEGG_2019_Human	Prion diseases	1/35	3.597874e-01	4.375500e-01	0	0	2.300770e+00	2.351944e+00	NOTCH1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	2/100	3.615545e-01	4.375500e-01	0	0	1.597610e+00	1.625316e+00	PIK3CA;PIK3R1
KEGG_2019_Human	Tight junction	3/170	3.643982e-01	4.382004e-01	0	0	1.406946e+00	1.420323e+00	ITGB1;CCND1;RUNX1
KEGG_2019_Human	Glucagon signaling pathway	2/103	3.751688e-01	4.463940e-01	0	0	1.549919e+00	1.519508e+00	CREBBP;EP300
KEGG_2019_Human	African trypanosomiasis	1/37	3.759107e-01	4.463940e-01	0	0	2.172729e+00	2.125806e+00	IDO1
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	2/106	3.886637e-01	4.586715e-01	0	0	1.504980e+00	1.422268e+00	MEF2C;CDKN1A
KEGG_2019_Human	Ferroptosis	1/40	3.993405e-01	4.683623e-01	0	0	2.005291e+00	1.840739e+00	TP53
KEGG_2019_Human	Tryptophan metabolism	1/42	4.144715e-01	4.831263e-01	0	0	1.907278e+00	1.679838e+00	IDO1
KEGG_2019_Human	Valine, leucine and isoleucine degradation	1/48	4.576240e-01	5.269610e-01	0	0	1.663289e+00	1.300206e+00	HMGCS1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	4.576240e-01	5.269610e-01	0	0	1.663289e+00	1.300206e+00	DNM2
KEGG_2019_Human	Malaria	1/49	4.645016e-01	5.316584e-01	0	0	1.628555e+00	1.248760e+00	PECAM1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	1/51	4.779971e-01	5.438291e-01	0	0	1.563254e+00	1.153917e+00	TP53
KEGG_2019_Human	Pathogenic Escherichia coli infection	1/55	5.039803e-01	5.699778e-01	0	0	1.447163e+00	9.916224e-01	ITGB1
KEGG_2019_Human	Ubiquitin mediated proteolysis	2/137	5.191406e-01	5.836492e-01	0	0	1.157562e+00	7.588753e-01	FBXW7;CUL1
KEGG_2019_Human	Viral myocarditis	1/59	5.286751e-01	5.908721e-01	0	0	1.347085e+00	8.586070e-01	CCND1
KEGG_2019_Human	Long-term depression	1/60	5.346550e-01	5.940611e-01	0	0	1.324186e+00	8.291175e-01	KRAS
KEGG_2019_Human	Cortisol synthesis and secretion	1/65	5.634396e-01	6.224043e-01	0	0	1.220424e+00	7.001513e-01	PBX1
KEGG_2019_Human	Phagosome	2/152	5.753280e-01	6.295534e-01	0	0	1.041009e+00	5.754855e-01	ITGB1;ITGAM
KEGG_2019_Human	Staphylococcus aureus infection	1/68	5.798518e-01	6.295534e-01	0	0	1.165601e+00	6.352321e-01	ITGAM
KEGG_2019_Human	Amphetamine addiction	1/68	5.798518e-01	6.295534e-01	0	0	1.165601e+00	6.352321e-01	HDAC1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	2/165	6.200449e-01	6.693666e-01	0	0	9.573485e-01	4.575776e-01	XBP1;CUL1
KEGG_2019_Human	Synaptic vesicle cycle	1/78	6.302472e-01	6.765365e-01	0	0	1.013709e+00	4.679717e-01	DNM2
KEGG_2019_Human	Complement and coagulation cascades	1/79	6.349428e-01	6.777480e-01	0	0	1.000661e+00	4.545207e-01	ITGAM
KEGG_2019_Human	Chemical carcinogenesis	1/82	6.486764e-01	6.885392e-01	0	0	9.634529e-01	4.170029e-01	ARNT
KEGG_2019_Human	Taste transduction	1/83	6.531390e-01	6.894244e-01	0	0	9.516551e-01	4.053721e-01	TAS1R2
KEGG_2019_Human	Gap junction	1/88	6.746187e-01	7.081633e-01	0	0	8.967342e-01	3.529614e-01	KRAS
KEGG_2019_Human	Salivary secretion	1/90	6.828349e-01	7.128496e-01	0	0	8.764937e-01	3.343842e-01	CD38
KEGG_2019_Human	GnRH signaling pathway	1/93	6.947733e-01	7.213493e-01	0	0	8.477830e-01	3.087369e-01	KRAS
KEGG_2019_Human	Pancreatic secretion	1/98	7.136840e-01	7.369563e-01	0	0	8.038783e-01	2.711601e-01	CD38
KEGG_2019_Human	Serotonergic synapse	1/113	7.636952e-01	7.843356e-01	0	0	6.956845e-01	1.875471e-01	KRAS
KEGG_2019_Human	Purine metabolism	1/129	8.074819e-01	8.248471e-01	0	0	6.082279e-01	1.300602e-01	NT5C2
KEGG_2019_Human	cGMP-PKG signaling pathway	1/166	8.802209e-01	8.943420e-01	0	0	4.709476e-01	6.008464e-02	MEF2C
KEGG_2019_Human	Calcium signaling pathway	1/188	9.097061e-01	9.193838e-01	0	0	4.150751e-01	3.928009e-02	CD38
KEGG_2019_Human	Endocytosis	1/244	9.560805e-01	9.611391e-01	0	0	3.185055e-01	1.430510e-02	DNM2
KEGG_2019_Human	Olfactory transduction	1/444	9.967058e-01	9.967058e-01	0	0	1.729191e-01	5.705684e-04	OR10R2
